i,j
190,7
191,7
195,7
196,7
197,7
4,6
5,6
6,6
8,6
9,6
14,6
23,6
29,6
34,6
35,6
36,6
37,6
39,6
43,6
44,6
45,6
59,6
67,6
68,6
71,6
72,6
77,6
78,6
80,6
84,6
88,6
92,6
93,6
107,6
112,6
119,6
128,6
132,6
134,6
135,6
138,6
140,6
150,6
155,6
157,6
159,6
161,6
177,6
179,6
184,6
186,6
188,6
189,6
190,6
192,6
193,6
195,6
196,6
197,6
198,6
1,5
3,5
6,5
8,5
13,5
25,5
38,5
46,5
51,5
53,5
58,5
60,5
61,5
64,5
65,5
66,5
67,5
75,5
76,5
78,5
80,5
96,5
98,5
115,5
117,5
118,5
123,5
125,5
126,5
130,5
131,5
144,5
147,5
155,5
157,5
160,5
161,5
165,5
166,5
172,5
178,5
179,5
182,5
192,5
193,5
194,5
197,5
199,5
200,5
1,4
2,4
5,4
7,4
9,4
13,4
16,4
20,4
24,4
28,4
29,4
32,4
33,4
36,4
38,4
39,4
43,4
46,4
53,4
58,4
60,4
61,4
62,4
70,4
82,4
86,4
87,4
102,4
110,4
115,4
120,4
121,4
125,4
138,4
139,4
141,4
143,4
149,4
154,4
157,4
162,4
167,4
169,4
175,4
178,4
179,4
181,4
183,4
189,4
190,4
193,4
195,4
196,4
199,4
7,3
11,3
13,3
14,3
15,3
17,3
19,3
23,3
32,3
35,3
38,3
41,3
48,3
49,3
53,3
55,3
56,3
60,3
61,3
76,3
98,3
100,3
103,3
106,3
112,3
124,3
127,3
135,3
141,3
142,3
144,3
145,3
148,3
155,3
157,3
160,3
161,3
167,3
169,3
170,3
174,3
175,3
183,3
184,3
188,3
189,3
190,3
194,3
2,2
4,2
7,2
11,2
15,2
16,2
18,2
21,2
22,2
23,2
30,2
38,2
39,2
50,2
53,2
63,2
66,2
69,2
71,2
73,2
80,2
88,2
89,2
91,2
92,2
100,2
103,2
108,2
109,2
111,2
113,2
114,2
122,2
130,2
132,2
137,2
144,2
146,2
154,2
158,2
160,2
161,2
164,2
165,2
167,2
168,2
171,2
173,2
180,2
181,2
183,2
185,2
190,2
192,2
1,1
9,1
11,1
21,1
31,1
37,1
41,1
49,1
62,1
74,1
79,1
80,1
89,1
108,1
115,1
118,1
130,1
138,1
139,1
142,1
146,1
150,1
151,1
152,1
156,1
157,1
160,1
166,1
169,1
179,1
182,1
183,1
186,1
189,1
192,1
194,1
